blm_category,missing_id
biolink:Disease,UMLS:C5397664
biolink:Disease,UMLS:C1265953
biolink:Disease,UMLS:C5204273
biolink:Disease,UMLS:C5397195
biolink:Disease,UMLS:C5206577
biolink:Disease,UMLS:C5205069
biolink:Disease,UMLS:C5230863
biolink:Disease,UMLS:C5239282
biolink:Disease,UMLS:C5200937
biolink:Disease,UMLS:C5392227
biolink:Disease,UMLS:C5206797
biolink:Disease,UMLS:C5204784
biolink:Disease,UMLS:C5230212
biolink:Disease,UMLS:C5202806
biolink:Disease,UMLS:C5237002
biolink:Disease,UMLS:C5237824
biolink:Disease,UMLS:C5395247
biolink:Disease,UMLS:C5392094
biolink:Disease,UMLS:C5396963
biolink:Disease,UMLS:C5205724
biolink:Disease,UMLS:C5395183
biolink:Disease,UMLS:C5230355
biolink:Disease,UMLS:C5397725
biolink:Disease,UMLS:C5392835
biolink:Disease,UMLS:C5397899
biolink:Disease,UMLS:C5237957
biolink:Disease,UMLS:C5204530
biolink:Disease,UMLS:C5203239
biolink:Disease,UMLS:C5392839
biolink:Disease,UMLS:C5206650
biolink:Disease,UMLS:C5396911
biolink:Disease,UMLS:C5230517
biolink:Disease,UMLS:C5236018
biolink:Disease,UMLS:C5238472
biolink:Disease,UMLS:C5204272
biolink:Disease,UMLS:C5392814
biolink:Disease,UMLS:C5238471
biolink:Disease,UMLS:C5229670
biolink:Disease,UMLS:C5206129
biolink:Disease,UMLS:C5206795
biolink:Disease,UMLS:C5206801
biolink:Disease,UMLS:C5225904
biolink:Disease,UMLS:C5205873
biolink:Disease,UMLS:C5206598
biolink:Disease,UMLS:C5239334
biolink:Disease,UMLS:C5204529
biolink:Disease,UMLS:C5200990
biolink:Disease,UMLS:C5230265
biolink:Disease,UMLS:C5205726
biolink:Disease,UMLS:C5237070
biolink:Disease,UMLS:C5208355
biolink:Disease,UMLS:C5204258
biolink:Disease,UMLS:C5395071
biolink:Disease,UMLS:C5397697
biolink:Disease,UMLS:C5230382
biolink:Disease,UMLS:C5204270
biolink:Disease,UMLS:C5237030
biolink:Disease,UMLS:C5206861
biolink:Disease,UMLS:C5392790
biolink:Disease,UMLS:C5206374
biolink:Disease,UMLS:C5206632
biolink:Disease,UMLS:C5229466
biolink:Disease,UMLS:C5231078
biolink:Disease,UMLS:C5234850
biolink:Disease,UMLS:C5233137
biolink:Disease,UMLS:C5394677
biolink:Disease,UMLS:C5232860
biolink:Disease,UMLS:C5392074
biolink:Disease,UMLS:C5205607
biolink:Disease,UMLS:C5206820
biolink:Disease,UMLS:C5239366
biolink:Disease,UMLS:C5230529
biolink:Disease,UMLS:C5206799
biolink:Disease,UMLS:C5201089
biolink:Disease,UMLS:C5212358
biolink:Disease,UMLS:C5392160
biolink:Disease,UMLS:C5204066
biolink:Disease,UMLS:C5203876
biolink:Disease,UMLS:C5238908
biolink:Disease,UMLS:C5231445
biolink:Disease,UMLS:C5238389
biolink:Disease,UMLS:C5238508
biolink:Disease,UMLS:C5237189
biolink:Disease,UMLS:C5392105
biolink:Disease,UMLS:C5236116
biolink:Disease,UMLS:C5239071
biolink:Disease,UMLS:C5233491
biolink:Disease,UMLS:C5392832
biolink:Disease,UMLS:C5206466
biolink:Disease,UMLS:C5238239
biolink:Disease,UMLS:C5206823
biolink:Disease,UMLS:C5392959
biolink:Disease,UMLS:C5236145
biolink:Disease,UMLS:C5206782
biolink:Disease,UMLS:C5238404
biolink:Disease,UMLS:C5397596
biolink:Disease,UMLS:C5397629
biolink:Disease,UMLS:C5204016
biolink:Disease,UMLS:C5393825
biolink:Disease,UMLS:C5391323
biolink:Disease,UMLS:C5230916
biolink:Disease,UMLS:C5395974
biolink:Disease,UMLS:C5206582
biolink:Disease,UMLS:C5239073
biolink:Disease,UMLS:C5395201
biolink:Disease,UMLS:C5384646
biolink:Disease,UMLS:C5397144
biolink:Disease,UMLS:C5392793
biolink:Disease,UMLS:C5235895
biolink:Disease,UMLS:C5238495
biolink:Disease,UMLS:C5205119
biolink:Disease,UMLS:C5395975
biolink:Disease,UMLS:C5392204
biolink:Disease,UMLS:C5392818
biolink:Disease,UMLS:C5232963
biolink:Disease,UMLS:C5239285
biolink:Disease,UMLS:C5206580
biolink:Disease,UMLS:C1371642
biolink:Disease,UMLS:C5241289
biolink:Disease,UMLS:C5397962
biolink:Disease,UMLS:C5206579
biolink:Disease,UMLS:C5396999
biolink:Disease,UMLS:C5207006
biolink:Disease,UMLS:C5206968
biolink:Disease,UMLS:C5235944
biolink:Disease,UMLS:C5231121
biolink:Disease,UMLS:C5237209
biolink:Disease,UMLS:C5230191
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205893
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393278
biolink:DiseaseOrPhenotypicFeature,UMLS:C3178846
biolink:DiseaseOrPhenotypicFeature,UMLS:C5209257
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205063
biolink:DiseaseOrPhenotypicFeature,UMLS:C5392828
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232261
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205882
biolink:DiseaseOrPhenotypicFeature,UMLS:C5397975
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233331
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394276
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232334
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233712
biolink:DiseaseOrPhenotypicFeature,UMLS:C5203071
biolink:DiseaseOrPhenotypicFeature,UMLS:C5231272
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204651
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393196
biolink:DiseaseOrPhenotypicFeature,UMLS:C5236171
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394298
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237712
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394435
biolink:DiseaseOrPhenotypicFeature,UMLS:C0449705
biolink:DiseaseOrPhenotypicFeature,UMLS:C5395702
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238847
biolink:DiseaseOrPhenotypicFeature,UMLS:C5200931
biolink:DiseaseOrPhenotypicFeature,UMLS:C0026538
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394024
biolink:DiseaseOrPhenotypicFeature,UMLS:C1272755
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204517
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394757
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237173
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393911
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233709
biolink:DiseaseOrPhenotypicFeature,UMLS:C5241304
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394163
biolink:DiseaseOrPhenotypicFeature,UMLS:C0205160
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393311
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394668
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394764
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394308
biolink:DiseaseOrPhenotypicFeature,UMLS:C5231156
biolink:DiseaseOrPhenotypicFeature,UMLS:C4049260
biolink:DiseaseOrPhenotypicFeature,UMLS:C2986382
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394701
biolink:DiseaseOrPhenotypicFeature,UMLS:C5381914
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233658
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205892
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233441
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205463
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394132
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393869
biolink:DiseaseOrPhenotypicFeature,UMLS:C5230768
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206332
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237319
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233444
biolink:DiseaseOrPhenotypicFeature,UMLS:C5214603
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204818
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204819
biolink:DiseaseOrPhenotypicFeature,UMLS:C2733260
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232396
biolink:DiseaseOrPhenotypicFeature,UMLS:C5203096
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232927
biolink:DiseaseOrPhenotypicFeature,UMLS:C0184511
biolink:DiseaseOrPhenotypicFeature,UMLS:C5209287
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238854
biolink:DiseaseOrPhenotypicFeature,UMLS:C5236074
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394330
biolink:DiseaseOrPhenotypicFeature,UMLS:C0750173
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233569
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394378
biolink:DiseaseOrPhenotypicFeature,UMLS:C5235999
biolink:DiseaseOrPhenotypicFeature,UMLS:C5382002
biolink:DiseaseOrPhenotypicFeature,UMLS:C5203373
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232970
biolink:DiseaseOrPhenotypicFeature,UMLS:C0184512
biolink:DiseaseOrPhenotypicFeature,UMLS:C5382034
biolink:DiseaseOrPhenotypicFeature,UMLS:C1286104
biolink:DiseaseOrPhenotypicFeature,UMLS:C5209253
biolink:DiseaseOrPhenotypicFeature,UMLS:C5209230
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206333
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205015
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233109
biolink:DiseaseOrPhenotypicFeature,UMLS:C5236980
biolink:DiseaseOrPhenotypicFeature,UMLS:C0033213
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206334
biolink:DiseaseOrPhenotypicFeature,UMLS:C0332218
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206467
biolink:DiseaseOrPhenotypicFeature,UMLS:C5203671
biolink:DiseaseOrPhenotypicFeature,UMLS:C3258987
biolink:DiseaseOrPhenotypicFeature,UMLS:C0524719
biolink:DiseaseOrPhenotypicFeature,UMLS:C5382003
biolink:DiseaseOrPhenotypicFeature,UMLS:C5397963
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238683
biolink:DiseaseOrPhenotypicFeature,UMLS:C5392186
biolink:DiseaseOrPhenotypicFeature,UMLS:C5204312
biolink:DiseaseOrPhenotypicFeature,UMLS:C5212923
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394048
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238620
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233296
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233111
biolink:DiseaseOrPhenotypicFeature,UMLS:C5211503
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393146
biolink:DiseaseOrPhenotypicFeature,UMLS:C5237710
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206872
biolink:DiseaseOrPhenotypicFeature,UMLS:C5236002
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394216
biolink:DiseaseOrPhenotypicFeature,UMLS:C5239279
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233435
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393661
biolink:DiseaseOrPhenotypicFeature,UMLS:C0232903
biolink:DiseaseOrPhenotypicFeature,UMLS:C2712724
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394396
biolink:DiseaseOrPhenotypicFeature,UMLS:C5207071
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233327
biolink:DiseaseOrPhenotypicFeature,UMLS:C2827734
biolink:DiseaseOrPhenotypicFeature,UMLS:C5201140
biolink:DiseaseOrPhenotypicFeature,UMLS:C5392237
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238876
biolink:DiseaseOrPhenotypicFeature,UMLS:C2984218
biolink:DiseaseOrPhenotypicFeature,UMLS:C5235969
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233285
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393315
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238687
biolink:DiseaseOrPhenotypicFeature,UMLS:C5231182
biolink:DiseaseOrPhenotypicFeature,UMLS:C3658315
biolink:DiseaseOrPhenotypicFeature,UMLS:C5393824
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238366
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394299
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232645
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394355
biolink:DiseaseOrPhenotypicFeature,UMLS:C5230548
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233167
biolink:DiseaseOrPhenotypicFeature,UMLS:C5202576
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394358
biolink:DiseaseOrPhenotypicFeature,UMLS:C0205082
biolink:DiseaseOrPhenotypicFeature,UMLS:C5239304
biolink:DiseaseOrPhenotypicFeature,UMLS:C5239552
biolink:DiseaseOrPhenotypicFeature,UMLS:C3810541
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233565
biolink:DiseaseOrPhenotypicFeature,UMLS:C5235038
biolink:DiseaseOrPhenotypicFeature,UMLS:C5392853
biolink:DiseaseOrPhenotypicFeature,UMLS:C5231115
biolink:DiseaseOrPhenotypicFeature,UMLS:C5206532
biolink:DiseaseOrPhenotypicFeature,UMLS:C5382028
biolink:DiseaseOrPhenotypicFeature,UMLS:C5207034
biolink:DiseaseOrPhenotypicFeature,UMLS:C5394544
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232454
biolink:DiseaseOrPhenotypicFeature,UMLS:C5212446
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232699
biolink:DiseaseOrPhenotypicFeature,UMLS:C2983605
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233487
biolink:DiseaseOrPhenotypicFeature,UMLS:C5205918
biolink:DiseaseOrPhenotypicFeature,UMLS:C5232757
biolink:DiseaseOrPhenotypicFeature,UMLS:C5381941
biolink:DiseaseOrPhenotypicFeature,UMLS:C5238619
biolink:DiseaseOrPhenotypicFeature,UMLS:C5396062
biolink:DiseaseOrPhenotypicFeature,UMLS:C5381994
biolink:DiseaseOrPhenotypicFeature,UMLS:C5200999
biolink:DiseaseOrPhenotypicFeature,UMLS:C5233361
